Date,GroupName,Gender,Age_Group,Search_Count
2021-01-11,안주/보양식,f,장년층,21.61726
2021-01-12,찌개/국/탕,m,청년층,22.52819
2021-01-12,찌개/국/탕,m,중년층,19.3092
2021-01-12,찌개/국/탕,m,장년층,16.27261
2021-01-12,찌개/국/탕,f,청년층,32.0698
2021-01-12,찌개/국/탕,f,중년층,35.03652
2021-01-12,찌개/국/탕,f,장년층,30.47732
2021-01-12,면요리,m,청년층,48.54334
2021-01-12,면요리,m,중년층,35.40906
2021-01-12,면요리,m,장년층,33.18318
2021-01-12,면요리,f,청년층,63.81648
2021-01-12,면요리,f,중년층,46.66563
2021-01-12,면요리,f,장년층,46.27937
2021-01-12,밥/죽/덮밥,m,청년층,73.89121
2021-01-12,밥/죽/덮밥,m,중년층,50.85381
2021-01-12,밥/죽/덮밥,m,장년층,65.96244
2021-01-12,밥/죽/덮밥,f,청년층,82.84482
2021-01-12,밥/죽/덮밥,f,중년층,74.79793
2021-01-12,밥/죽/덮밥,f,장년층,77.09923
2021-01-12,볶음/구이,m,청년층,72.76946
2021-01-12,볶음/구이,m,중년층,54.50573
2021-01-12,볶음/구이,m,장년층,49.98362
2021-01-12,볶음/구이,f,청년층,93.21518
2021-01-12,볶음/구이,f,중년층,68.60756
2021-01-12,볶음/구이,f,장년층,52.41268
2021-01-12,브런치/샐러드,m,청년층,64.04084
2021-01-12,브런치/샐러드,m,중년층,43.03944
2021-01-12,브런치/샐러드,m,장년층,13.00277
2021-01-12,브런치/샐러드,f,청년층,55.2477
2021-01-12,브런치/샐러드,f,중년층,34.23276
2021-01-12,브런치/샐러드,f,장년층,18.04361
2021-01-12,안주/보양식,m,청년층,16.76978
2021-01-12,안주/보양식,m,중년층,13.28808
2021-01-12,안주/보양식,m,장년층,12.32402
2021-01-12,안주/보양식,f,청년층,23.48993
2021-01-12,안주/보양식,f,중년층,21.07611
2021-01-12,안주/보양식,f,장년층,21.14337
2021-01-13,찌개/국/탕,m,청년층,23.89123
2021-01-13,찌개/국/탕,m,중년층,21.68668
2021-01-13,찌개/국/탕,m,장년층,20.6106
2021-01-13,찌개/국/탕,f,청년층,33.59826
2021-01-13,찌개/국/탕,f,중년층,36.60721
2021-01-13,찌개/국/탕,f,장년층,34.56561
2021-01-13,면요리,m,청년층,45.88025
2021-01-13,면요리,m,중년층,33.34954
2021-01-13,면요리,m,장년층,34.79729
2021-01-13,면요리,f,청년층,59.93351
2021-01-13,면요리,f,중년층,45.61539
2021-01-13,면요리,f,장년층,45.20234
2021-01-13,밥/죽/덮밥,m,청년층,75.39748
2021-01-13,밥/죽/덮밥,m,중년층,50.85381
2021-01-13,밥/죽/덮밥,m,장년층,57.27699
2021-01-13,밥/죽/덮밥,f,청년층,85.99137
2021-01-13,밥/죽/덮밥,f,중년층,73.84416
2021-01-13,밥/죽/덮밥,f,장년층,79.67557
2021-01-13,볶음/구이,m,청년층,79.06137
2021-01-13,볶음/구이,m,중년층,59.12069
2021-01-13,볶음/구이,m,장년층,51.62135
2021-01-13,볶음/구이,f,청년층,92.32911
2021-01-13,볶음/구이,f,중년층,68.3529
2021-01-13,볶음/구이,f,장년층,57.71936
2021-01-13,브런치/샐러드,m,청년층,67.1043
2021-01-13,브런치/샐러드,m,중년층,42.42072
2021-01-13,브런치/샐러드,m,장년층,16.2968
2021-01-13,브런치/샐러드,f,청년층,56.07683
2021-01-13,브런치/샐러드,f,중년층,34.43158
2021-01-13,브런치/샐러드,f,장년층,19.7757
2021-01-13,안주/보양식,m,청년층,15.45099
2021-01-13,안주/보양식,m,중년층,12.45585
2021-01-13,안주/보양식,m,장년층,14.90502
2021-01-13,안주/보양식,f,청년층,23.49626
2021-01-13,안주/보양식,f,중년층,21.4026
2021-01-13,안주/보양식,f,장년층,24.31941
2021-01-14,찌개/국/탕,m,청년층,24.41015
2021-01-14,찌개/국/탕,m,중년층,21.0159
2021-01-14,찌개/국/탕,m,장년층,19.24342
2021-01-14,찌개/국/탕,f,청년층,34.49866
2021-01-14,찌개/국/탕,f,중년층,35.49419
2021-01-14,찌개/국/탕,f,장년층,32.10829
2021-01-14,면요리,m,청년층,45.41554
2021-01-14,면요리,m,중년층,32.70088
2021-01-14,면요리,m,장년층,34.04654
2021-01-14,면요리,f,청년층,61.25
2021-01-14,면요리,f,중년층,43.90294
2021-01-14,면요리,f,장년층,42.62402
2021-01-14,밥/죽/덮밥,m,청년층,82.25941
2021-01-14,밥/죽/덮밥,m,중년층,49.18783
2021-01-14,밥/죽/덮밥,m,장년층,63.84976
2021-01-14,밥/죽/덮밥,f,청년층,80.56034
2021-01-14,밥/죽/덮밥,f,중년층,72.63174
2021-01-14,밥/죽/덮밥,f,장년층,73.5687
2021-01-14,볶음/구이,m,청년층,75.96699
2021-01-14,볶음/구이,m,중년층,52.7444
2021-01-14,볶음/구이,m,장년층,50.99901
2021-01-14,볶음/구이,f,청년층,91.2405
2021-01-14,볶음/구이,f,중년층,66.97168
2021-01-14,볶음/구이,f,장년층,54.97963
2021-01-14,브런치/샐러드,m,청년층,66.66666
2021-01-14,브런치/샐러드,m,중년층,44.70224
2021-01-14,브런치/샐러드,m,장년층,14.59778
2021-01-14,브런치/샐러드,f,청년층,55.21315
2021-01-14,브런치/샐러드,f,중년층,35.43989
